fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,atlas_totInst
5710,295192,4,56,1495760919,560,1,11,3,32,ACQUIRING,MIXED,5,0.0284331142902,0.0182952024043,0.0268116760999,-0.0182952024043,-0.0268116760999,0.0142165571451,0.0,-0.0142165571451,-0.0,0
5710,295192,4,60,1495760921,72,1,11,3,32,ACQUIRING,MIXED,4,0.0284331142902,0.0182952024043,0.0268116760999,-0.0182952024043,-0.0268116760999,0.0142165571451,0.0,-0.0142165571451,-0.0,0
5710,295192,4,64,1495760922,484,1,11,3,32,ACQUIRING,MIXED,2,0.0284331142902,0.0182952024043,0.0268116760999,-0.0182952024043,-0.0268116760999,0.0142165571451,0.0,-0.0142165571451,-0.0,0
5710,295192,5,4,1495760923,897,1,11,3,32,ACQUIRING,MIXED,1,0.0284331142902,0.0182952024043,0.0268116760999,-0.0182952024043,-0.0268116760999,0.0142165571451,0.0,-0.0142165571451,-0.0,0
5710,295192,5,24,1495760931,272,1,13,3,32,ACQUIRING,MIXED,10,0.0426496714354,0.0254034828395,0.0268116760999,-0.0254034828395,-0.0268116760999,0.0213248357177,0.0,-0.0213248357177,-0.0,0
5710,295192,5,28,1495760932,683,1,13,3,32,ACQUIRING,MIXED,8,0.0426496714354,0.0254034828395,0.0268116760999,-0.0254034828395,-0.0268116760999,0.0213248357177,0.0,-0.0213248357177,-0.0,0
5710,295192,5,32,1495760934,97,1,13,3,32,ACQUIRING,MIXED,7,0.0426496714354,0.0254034828395,0.0268116760999,-0.0254034828395,-0.0268116760999,0.0213248357177,0.0,-0.0213248357177,-0.0,0
5710,295192,5,36,1495760935,611,1,13,3,32,ACQUIRING,MIXED,5,0.0426496714354,0.0254034828395,0.0268116760999,-0.0254034828395,-0.0268116760999,0.0213248357177,0.0,-0.0213248357177,-0.0,0
5710,295192,5,40,1495760937,25,1,13,3,32,ACQUIRING,MIXED,4,0.0426496714354,0.0254034828395,0.0268116760999,-0.0254034828395,-0.0268116760999,0.0213248357177,0.0,-0.0213248357177,-0.0,0
5710,295192,5,44,1495760938,538,1,13,3,32,ACQUIRING,MIXED,2,0.0426496714354,0.0254034828395,0.0268116760999,-0.0254034828395,-0.0268116760999,0.0213248357177,0.0,-0.0213248357177,-0.0,0
5710,295192,5,48,1495760939,949,1,13,3,32,ACQUIRING,MIXED,1,0.0426496714354,0.0254034828395,0.0268116760999,-0.0254034828395,-0.0268116760999,0.0213248357177,0.0,-0.0213248357177,-0.0,0
